id,Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,14 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate,14 Day Advertised ASIN Units (#),14 Day Brand Halo ASIN Units (#),14 Day Advertised ASIN Sales ,14 Day Brand Halo ASIN Sales 
1,2025-09-02,No Portfolio,INR,Bud Combo SP KT-E - SP-GKT1,Bud Combo SP KT-E,live plants with pots,EXACT,live plants with pots,124,1,0.00806452,4.44,4.44,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
2,2025-09-02,No Portfolio,INR,Bud Combo SP KT-E - SP-GKT1,Bud Combo SP KT-E,plants,EXACT,plants,101,1,0.00990099,4.32,4.32,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
3,2025-09-03,No Portfolio,INR,Bud Combo SP KT-E - SP-GKT1,Bud Combo SP KT-E,plants,EXACT,plants,71,2,0.02816901,4.275,8.55,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
4,2025-09-03,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b01ih1nnie,48,1,0.02083333,2.74,2.74,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
5,2025-09-01,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b07cb42b25,9,1,0.1111111,3.0,3.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6,2025-09-05,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b07cb42b25,3,1,0.3333333,3.0,3.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
7,2025-08-30,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b09pf1drk1,12,1,0.08333333,2.95,2.95,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
8,2025-08-31,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b09snybzv8,6,1,0.1666667,2.95,2.95,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
9,2025-08-30,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0bn5zbqty,2,1,0.5,2.99,2.99,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
10,2025-09-01,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0br5zwgg2,4,1,0.25,2.94,2.94,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
11,2025-08-31,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0by4xfxrm,2,1,0.5,2.99,2.99,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
12,2025-08-31,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0byzc8mxq,26,1,0.03846154,2.83,2.83,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
13,2025-09-03,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0byzc8mxq,29,1,0.03448276,2.84,2.84,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
14,2025-08-31,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0cd5tz3pf,3,1,0.3333333,2.98,2.98,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
15,2025-08-30,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0cz6t9152,216,2,0.00925926,2.91,5.82,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
16,2025-08-31,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0cz6t9152,427,5,0.0117096,2.802,14.01,347.0,0.04037464,24.768022840828,1,1,0.2,0,1,0.0,347.0
17,2025-09-01,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0cz6t9152,289,2,0.00692042,2.95,5.9,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
18,2025-09-02,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0cz6t9152,396,4,0.01010101,2.64,10.56,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
19,2025-09-03,No Portfolio,INR,New Plants - SP PT - SP-GCT1,New Plants - SP PT,"category=""Indoor Fern Plants""",-,b0cz6t9152,308,7,0.02272727,2.78857142857143,19.52,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
